,id,year,sibid1,south14,momwork,dadwork,momhgc,dadhgc,numsib,religkid,relignow,race,sex,afqtrev,height,health,weight,drnkev,drnkmo,drnk6m,days,perday,gtint,wgsal,famsz,faminc,povst,empst,region,marst,higrad,age,hrswrk,wkswrk,wksue,wksolf,urbrur,numjob,numkid,wdad14,wmom14,hvsib,urate,logwksue,logdays,logwgsal,sqdays,cubdays,age21,wkdrnk,logage,sqrdays,avgincome
6636,11800,89,,0.0,1,1,12,9,4.0,2.0,2.0,3,2,22,64.0,0.0,112.0,1,1,0,1,2,5,65000.0,2,1057448.0,0.0,1,4,3.0,12,31,2350,50,0,2,1.0,11.0,1,1.0,1.0,0.0,4.5,,0.0,11.082143,1.0,1.0,1.0,0.0,3.4339871,1.0,15208.462
6637,2158,89,,1.0,0,1,12,12,3.0,5.0,5.0,3,2,68,66.0,0.0,160.0,1,1,0,1,3,4,5000.0,4,26000.0,0.0,1,3,2.0,12,32,1300,52,0,0,0.0,2.0,2,1.0,1.0,0.0,10.5,,0.0,8.517193,1.0,1.0,1.0,0.0,3.465736,1.0,15208.462
6638,3442,94,3443.0,0.0,0,1,15,15,2.0,7.0,7.0,3,2,93,63.0,0.0,,1,1,0,1,1,4,500.0,2,52500.0,0.0,2,3,2.0,18,32,280,14,0,38,0.0,11.0,0,1.0,1.0,1.0,4.5,,0.0,6.214608,1.0,1.0,1.0,0.0,3.465736,1.0,15208.462
6639,3746,89,,0.0,1,0,12,12,4.0,7.0,7.0,3,2,32,66.0,0.0,130.0,1,1,0,1,1,5,0.0,5,,,3,2,2.0,12,28,0,0,0,52,1.0,2.0,3,0.0,1.0,0.0,4.5,,0.0,,1.0,1.0,1.0,0.0,3.3322046,1.0,15208.462
6640,6555,94,,1.0,1,0,9,0,0.0,9.0,9.0,2,2,28,66.0,0.0,190.0,1,1,2,1,2,5,5000.0,3,,,1,3,1.0,13,30,1885,50,0,2,0.0,5.0,1,0.0,1.0,0.0,4.5,,0.0,8.517193,1.0,1.0,1.0,0.0,3.4011974,1.0,15208.462
6641,3550,94,3551.0,0.0,1,1,9,9,6.0,4.0,0.0,3,1,64,71.0,0.0,235.0,1,1,1,1,1,5,27000.0,5,38187.0,0.0,1,2,2.0,12,33,1800,45,7,0,1.0,13.0,3,1.0,1.0,1.0,4.5,1.9459101,0.0,10.203592,1.0,1.0,1.0,0.0,3.4965076,1.0,15208.462
6642,7066,94,,0.0,1,1,11,8,10.0,7.0,7.0,1,2,16,68.0,1.0,219.0,1,1,0,1,2,1,500.0,7,21359.0,1.0,3,2,3.0,12,34,156,4,0,48,1.0,3.0,5,0.0,1.0,0.0,7.5,,0.0,6.214608,1.0,1.0,1.0,0.0,3.5263605,1.0,15208.462
6643,7417,94,7418.0,1.0,1,0,17,16,2.0,7.0,7.0,1,1,50,69.0,0.0,180.0,1,1,0,1,1,4,25000.0,3,,,1,3,2.0,12,32,2200,52,0,0,1.0,12.0,1,0.0,1.0,1.0,7.5,,0.0,10.126631,1.0,1.0,1.0,0.0,3.465736,1.0,15208.462
6644,3405,94,3404.0,0.0,1,1,12,12,3.0,4.0,4.0,3,1,84,75.0,0.0,220.0,1,1,0,1,0,4,57000.0,2,75050.0,0.0,1,2,2.0,13,29,2600,52,0,0,1.0,12.0,0,1.0,1.0,1.0,4.5,,0.0,10.950807,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6645,596,89,,0.0,0,1,14,12,2.0,9.0,9.0,2,1,61,68.0,0.0,160.0,1,1,0,1,3,5,16000.0,3,43560.0,0.0,1,2,1.0,16,26,1920,52,0,0,1.0,7.0,0,0.0,1.0,0.0,4.5,,0.0,9.680344,1.0,1.0,1.0,0.0,3.2580965,1.0,15208.462
6646,8661,89,8662.0,1.0,1,0,10,0,4.0,5.0,5.0,2,1,13,72.0,0.0,150.0,1,1,0,1,2,5,20000.0,1,21000.0,0.0,1,3,1.0,12,26,2080,52,0,0,1.0,5.0,0,0.0,1.0,1.0,4.5,,0.0,9.903487,1.0,1.0,1.0,0.0,3.2580965,1.0,15208.462
6647,2746,89,,1.0,1,1,10,3,1.0,2.0,2.0,3,2,30,61.0,0.0,160.0,1,1,0,1,1,5,16000.0,4,44500.0,0.0,1,3,2.0,12,29,2080,52,0,0,0.0,1.0,2,1.0,1.0,0.0,4.5,,0.0,9.680344,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6648,6787,89,,,0,0,8,5,3.0,7.0,7.0,1,2,13,63.0,0.0,199.0,1,1,0,1,1,5,0.0,5,,,3,1,2.0,12,30,0,0,0,52,1.0,3.0,3,0.0,0.0,0.0,4.5,,0.0,,1.0,1.0,1.0,0.0,3.4011974,1.0,15208.462
6649,9274,94,,1.0,1,1,7,10,5.0,2.0,2.0,2,2,18,67.0,0.0,160.0,1,1,0,1,2,4,23000.0,5,23000.0,0.0,1,1,3.0,12,37,2080,52,0,0,1.0,6.0,3,0.0,1.0,0.0,7.5,,0.0,10.043249,1.0,1.0,1.0,0.0,3.6109178,1.0,15208.462
6650,3628,89,3629.0,0.0,1,1,16,18,1.0,5.0,5.0,3,1,65,74.0,0.0,200.0,1,1,0,1,2,4,48000.0,4,58300.0,0.0,1,3,2.0,17,32,2884,52,0,0,1.0,4.0,2,1.0,1.0,1.0,4.5,,0.0,10.778956,1.0,1.0,1.0,0.0,3.465736,1.0,15208.462
6651,7641,94,7642.0,1.0,0,0,12,12,3.0,2.0,2.0,2,1,4,71.0,0.0,220.0,1,1,1,1,1,5,17000.0,1,17000.0,0.0,1,3,1.0,12,33,2455,52,0,0,1.0,13.0,0,0.0,1.0,1.0,10.5,,0.0,9.740969,1.0,1.0,1.0,0.0,3.4965076,1.0,15208.462
6652,8215,94,8216.0,0.0,1,1,4,0,5.0,7.0,7.0,1,2,45,62.0,0.0,170.0,1,1,0,1,1,5,24000.0,2,24010.0,0.0,1,4,1.0,13,30,2080,52,0,0,1.0,6.0,0,1.0,1.0,1.0,13.5,,0.0,10.085809,1.0,1.0,1.0,0.0,3.4011974,1.0,15208.462
6653,4437,89,,0.0,1,1,14,16,1.0,0.0,0.0,3,2,99,65.0,0.0,180.0,1,1,0,1,2,5,12686.0,2,46140.0,0.0,1,4,2.0,16,24,1240,31,4,17,1.0,12.0,0,1.0,1.0,0.0,4.5,1.3862944,0.0,9.448255,1.0,1.0,1.0,0.0,3.1780539,1.0,15208.462
6654,3292,94,,0.0,0,1,15,8,4.0,7.0,7.0,3,2,51,65.0,0.0,140.0,1,1,0,1,1,2,0.0,4,189251.0,0.0,3,1,2.0,15,35,64,8,0,44,1.0,10.0,2,1.0,1.0,0.0,7.5,,0.0,,1.0,1.0,1.0,0.0,3.5553482,1.0,15208.462
6655,12483,89,12484.0,0.0,1,0,9,10,2.0,9.0,9.0,3,2,40,70.0,0.0,167.0,1,1,0,1,1,5,11000.0,7,25872.0,0.0,1,2,2.0,10,29,1920,48,0,4,0.0,8.0,5,0.0,1.0,1.0,7.5,,0.0,9.305651,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6656,3773,94,,0.0,1,1,12,6,5.0,7.0,0.0,3,2,68,,0.0,135.0,1,1,0,1,2,5,22000.0,5,42500.0,0.0,1,2,2.0,14,37,2080,52,0,0,1.0,7.0,3,1.0,1.0,0.0,7.5,,0.0,9.998797,1.0,1.0,1.0,0.0,3.6109178,1.0,15208.462
6657,4863,94,4864.0,0.0,1,1,10,11,7.0,7.0,6.0,3,2,23,61.0,0.0,130.0,1,1,0,1,1,4,0.0,5,21200.0,0.0,3,3,2.0,12,34,0,0,0,52,1.0,2.0,3,1.0,1.0,1.0,7.5,,0.0,,1.0,1.0,1.0,0.0,3.5263605,1.0,15208.462
6658,8389,94,8390.0,0.0,1,1,3,1,5.0,7.0,7.0,1,2,15,68.0,0.0,165.0,1,1,0,1,4,5,15900.0,5,34050.0,0.0,1,3,2.0,13,35,2080,52,0,0,1.0,7.0,3,1.0,1.0,1.0,13.5,,0.0,9.674074,1.0,1.0,1.0,0.0,3.5553482,1.0,15208.462
6659,3813,94,3814.0,0.0,1,0,16,16,3.0,6.0,6.0,3,2,77,66.0,0.0,155.0,1,1,0,1,2,4,17500.0,3,17501.0,0.0,1,2,3.0,13,31,2208,52,0,0,1.0,13.0,2,0.0,1.0,1.0,4.5,,0.0,9.769957,1.0,1.0,1.0,0.0,3.4339871,1.0,15208.462
6660,12000,94,,0.0,0,1,9,12,3.0,6.0,9.0,3,2,76,71.0,0.0,170.0,1,1,0,1,2,5,25000.0,3,58000.0,0.0,1,1,2.0,12,36,2080,52,0,0,1.0,2.0,1,1.0,1.0,0.0,7.5,,0.0,10.126631,1.0,1.0,1.0,0.0,3.583519,1.0,15208.462
6661,3549,89,,0.0,1,1,8,8,6.0,1.0,0.0,3,2,27,60.0,0.0,190.0,1,1,0,1,1,4,1422.0,3,13342.0,0.0,3,2,2.0,12,27,420,14,0,38,1.0,13.0,1,1.0,1.0,0.0,4.5,,0.0,7.2598195,1.0,1.0,1.0,0.0,3.295837,1.0,15208.462
6662,6189,89,6190.0,1.0,1,1,11,6,5.0,2.0,2.0,3,2,13,66.0,0.0,142.0,1,1,1,1,6,5,0.0,3,40000.0,0.0,2,3,2.0,11,28,0,0,0,52,1.0,1.0,1,1.0,1.0,1.0,4.5,,0.0,,1.0,1.0,1.0,0.0,3.3322046,1.0,15208.462
6663,6610,89,6611.0,0.0,0,1,8,8,11.0,7.0,7.0,3,2,17,67.0,0.0,170.0,1,1,0,1,1,5,7000.0,6,19000.0,0.0,1,2,2.0,12,29,1466,43,0,9,0.0,3.0,4,1.0,1.0,1.0,4.5,,0.0,8.853665,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6664,2391,94,,0.0,1,1,12,12,3.0,2.0,2.0,3,1,38,72.0,0.0,300.0,1,1,0,1,2,4,14000.0,5,25222.0,0.0,1,4,2.0,12,36,2070,27,8,17,1.0,10.0,3,1.0,1.0,0.0,13.5,2.0794415,0.0,9.546813,1.0,1.0,1.0,0.0,3.583519,1.0,15208.462
6665,5673,94,5674.0,0.0,1,1,16,12,3.0,0.0,9.0,3,2,69,68.0,0.0,145.0,1,1,0,1,1,4,22000.0,2,42949.0,0.0,1,4,2.0,14,31,2080,52,0,0,1.0,6.0,0,1.0,1.0,1.0,10.5,,0.0,9.998797,1.0,1.0,1.0,0.0,3.4339871,1.0,15208.462
6666,8924,89,,0.0,0,1,7,0,,7.0,7.0,1,1,13,68.0,0.0,195.0,1,1,0,1,2,5,16000.0,3,16600.0,0.0,1,4,2.0,11,25,2080,52,0,0,1.0,3.0,1,0.0,0.0,0.0,7.5,,0.0,9.680344,1.0,1.0,1.0,0.0,3.218876,1.0,15208.462
6667,9200,89,9197.0,0.0,1,1,14,0,8.0,2.0,2.0,2,1,7,65.0,0.0,145.0,1,1,0,1,1,5,20000.0,3,20000.0,0.0,1,2,1.0,12,24,1890,46,0,0,0.0,6.0,2,1.0,1.0,1.0,7.5,,0.0,9.903487,1.0,1.0,1.0,0.0,3.1780539,1.0,15208.462
